Name,Industry,Sector,Headquarters,Founded,Notes
Access Bank,Financials,Banks,Lagos,1989,Commercial bank
Aero Contractors,Consumer services,Airlines,Ikeja,1959,State charter airline
Arik Air,Consumer services,Airlines,Ikeja,2002,Airline
BUA Cement,Industrials,Building materials & fixtures,Lagos,2008,"Cement, part of BUA Group"
BUA Foods,Consumer goods,Food,Lagos,1988,"Food industry, part of BUA Group"
Cassava Republic Press,Consumer services,Publishing,Abuja,2006,Publisher
Central Bank of Nigeria,Financials,Banks,Abuja,1958,State-owned bank
Chanchangi Airlines,Consumer services,Airlines,Kaduna,1994,Airline
C&I Leasing Group PLC,Industrials,Marine transportation,Lekki,1990,Leasing
Chocolate City Records,Consumer services,Broadcasting & entertainment,Lagos,2005,Music label founded by Audu Maikori
Dana Air,Consumer services,Airlines,Ikeja,2008,Regional airline
Dangote Cement,Industrials,Building materials & fixtures,Lagos,1992,"Cement, part of Dangote Group"
Dangote Group,Conglomerates,–,Lagos,1981,"Cement, food and beverage, oil and gas"
Diamond Bank,Financials,Banks,Lagos,1990,Bank
Ensure,Financials,Full line insurance,Lagos,1993,Insurance
First City Monument Bank,Financials,Banks,Lagos,1982,Bank
Fidelity Bank Nigeria,Financials,Banks,Lagos,1988,Bank
First Bank of Nigeria,Financials,Banks,Lagos,1894,Bank
Guaranty Trust Bank,Financials,Banks,Lagos,1990,Bank
Industrial and General Insurance Company,Financials,Full line insurance,Lagos,1991,Insurance
Jiji.ng,Technology,Internet,Lagos,2014,Online marketplace
John Holt plc,Industrials,Diversified industrials,Lagos,1897,"Industrials, power, logistics"
Julius Berger,Industrials,Heavy construction,Abuja,1950,Construction and development
Jumia,Technology,Internet,Ikeja,2012,E-commerce platform
Kabo Air,Consumer services,Airlines,Kano,1980,Airline
Kakawa Discount House Limited,Financials,Investment services,Lagos,1995,Discount house
Keystone Bank Limited,Financials,Banks,Lagos,2011,Bank
Leadway,Financials,Full line insurance,Lagos,1970,Insurance
Mavin Records,Consumer services,Broadcasting & entertainment,Lagos,2012,Music label founded by Don Jazzy
Mikano International Limited,Industrials,Diversified industrials,Lagos,1993,"Electrical power generation, real estate and construction"
Nigerian National Petroleum Corporation (NNPC),Oil & gas,Exploration & production,Abuja,1977,State-owned oil
Nigerian Postal Service,Industrials,Delivery services,Abuja,1987,Postal services
Nigerian Railway Corporation,Industrials,Railroads,Lagos,1898,National railways
Nigerian Television Authority,Consumer services,Broadcasting & entertainment,Abuja,1977,State-owned television
Oando,Oil & gas,Exploration & production,Lagos,1956,Petrochemical and energy
ROCAD Construction Limited,Industrials,Heavy construction,Abuja,2002,Construction
Shell Nigeria,Oil & gas,Exploration & production,Abuja,1937,Part of Royal Dutch Shell (Netherlands)
Skye Bank,Financials,Banks,Lagos,2006,Has now been changed to Polaris Bank
Spring Bank,Financials,Banks,Lagos,2004,"Bank, defunct 2011"
Sterling Bank,Financials,Banks,Lagos,1960,Bank
The Tide,Consumer services,Publishing,Port Harcourt,1971,State-owned newspaper
Transmission Company of Nigeria,Utilities,Electricity transmission,Abuja,2005,Power
Transnational Corporation of Nigeria,Conglomerates,–,Lagos,2004,"Food and beverage, power, hotels"
Union Bank of Nigeria,Financials,Banks,Lagos,1917,Bank
United Africa Company of Nigeria,Conglomerates,–,Lagos,1931,"Logistics, real estate, industrials"
United Bank for Africa,Financials,Banks,Lagos,1949,Bank
Wema Bank,Financials,Banks,Lagos,1945,Bank
Wemy industries,Consumer,Personal goods,Lagos,1978,Personal hygiene products
Zenith Bank,Financials,Banks,Lagos,1990,Commercial bank
Dotts Media House,Media,PR & Digital Marketing,Lagos,2014,"Influencer Marketing, Content Marketing, Brand Activations"
